Date,High,Low,Open,Close,Volume,Adj Close
2020-12-31,1.5506099462509155,1.4302630424499512,1.535606026649475,1.5108979940414429,12763260,1.5108979940414429
2021-01-01,1.8596559762954712,1.5020380020141602,1.5097750425338745,1.8420840501785278,25722549,1.8420840501785278
2021-01-02,1.9892950057983398,1.7214820384979248,1.8455859422683716,1.7992750406265259,31671064,1.7992750406265259
2021-01-03,2.364980936050415,1.7999019622802734,1.7999019622802734,2.1617519855499268,55073422,2.1617519855499268
2021-01-04,2.4850969314575195,1.8763420581817627,2.16241192817688,2.4850969314575195,59955405,2.4850969314575195
2021-01-05,2.5026159286499023,2.077742099761963,2.4909820556640625,2.157217025756836,50555207,2.157217025756836
2021-01-06,2.185892105102539,1.9075850248336792,2.159626007080078,1.929216980934143,50263975,1.929216980934143
2021-01-07,2.611830949783325,1.9330430030822754,1.9365860223770142,2.3727450370788574,159870278,2.3727450370788574
2021-01-08,3.779320001602173,2.180928945541382,2.3687400817871094,3.2198870182037354,206412154,3.2198870182037354
2021-01-09,3.662787914276123,2.938307046890259,3.223541021347046,3.3853819370269775,91906875,3.3853819370269775
2021-01-10,3.733551025390625,3.196234941482544,3.390026092529297,3.466110944747925,62766977,3.466110944747925
2021-01-11,3.51357102394104,2.5971240997314453,3.4610650539398193,3.1080899238586426,82877500,3.1080899238586426
2021-01-12,3.8444159030914307,3.0800349712371826,3.1036880016326904,3.6133980751037598,73484689,3.6133980751037598
2021-01-13,3.6288249492645264,3.27492094039917,3.628382921218872,3.513782024383545,57994893,3.513782024383545
2021-01-14,3.5428659915924072,3.181973934173584,3.516036033630371,3.2781639099121094,59283112,3.2781639099121094
2021-01-15,3.4359219074249268,2.9851911067962646,3.2803990840911865,3.2501609325408936,45331739,3.2501609325408936
2021-01-16,3.7032320499420166,3.248934030532837,3.248934030532837,3.4470551013946533,68035606,3.4470551013946533
2021-01-17,3.965372085571289,3.3197460174560547,3.4348700046539307,3.81813907623291,85407766,3.81813907623291
2021-01-18,4.14792013168335,3.6557610034942627,3.8221309185028076,3.7955150604248047,70601713,3.7955150604248047
2021-01-19,4.031448841094971,3.609023094177246,3.7920429706573486,3.6418659687042236,44547768,3.6418659687042236
2021-01-20,3.7370030879974365,3.3440840244293213,3.63557505607605,3.7235779762268066,46698656,3.7235779762268066
2021-01-21,3.734325885772705,2.982696056365967,3.721669912338257,2.9905359745025635,43834765,2.9905359745025635
2021-01-22,3.497145891189575,2.5409860610961914,2.989919900894165,3.346229076385498,63361382,3.346229076385498
2021-01-23,3.597301959991455,3.3157620429992676,3.3410348892211914,3.5041120052337646,27904470,3.5041120052337646
2021-01-24,3.7930490970611572,3.4894940853118896,3.507110118865967,3.634411096572876,32747555,3.634411096572876
2021-01-25,3.9743568897247314,3.4513099193573,3.6346449851989746,3.6999809741973877,80055958,3.6999809741973877
2021-01-26,4.096916198730469,3.6826319694519043,3.6989591121673584,4.04734992980957,78823456,4.04734992980957
2021-01-27,4.048630237579346,3.531601905822754,4.048630237579346,3.690587043762207,35195110,3.690587043762207
2021-01-28,3.943490982055664,3.6098809242248535,3.6863698959350586,3.8220720291137695,31410527,3.8220720291137695
2021-01-29,3.89260196685791,3.639385938644409,3.8615810871124268,3.8346760272979736,44053151,3.8346760272979736
2021-01-30,4.311975955963135,3.774104118347168,3.837682008743286,4.224276065826416,53378198,4.224276065826416
2021-01-31,4.787010192871094,4.170497894287109,4.237314224243164,4.264143943786621,78376267,4.264143943786621
2021-02-01,4.611601829528809,4.118255138397217,4.261250972747803,4.611601829528809,39361629,4.611601829528809
2021-02-02,5.403642177581787,4.480119228363037,4.613740921020508,5.267508029937744,98755962,5.267508029937744
2021-02-03,5.780780792236328,5.072738170623779,5.246592044830322,5.71599006652832,49386327,5.71599006652832
2021-02-04,6.53101110458374,5.603236198425293,5.731748104095459,6.426064968109131,108249482,6.426064968109131
2021-02-05,7.127117156982422,6.426446914672852,6.435369968414307,6.681719779968262,92892157,6.681719779968262
2021-02-06,6.799130916595459,5.713828086853027,6.687301158905029,6.110806941986084,102365494,6.110806941986084
2021-02-07,6.871513843536377,5.76859188079834,6.117644786834717,6.700462818145752,105451103,6.700462818145752
2021-02-08,8.055932998657227,6.488927841186523,6.702446937561035,7.8832502365112305,155254261,7.8832502365112305
2021-02-09,8.46778392791748,7.570215225219727,7.869794845581055,7.816792964935303,121037873,7.816792964935303
2021-02-10,9.072604179382324,7.613846778869629,7.818552017211914,9.072214126586914,120679902,9.072214126586914
2021-02-11,9.707003593444824,8.761316299438477,9.08035659790039,9.215352058410645,53600048,9.215352058410645
2021-02-12,9.92445182800293,9.079011917114258,9.214790344238281,9.2470121383667,91484664,9.2470121383667
2021-02-13,9.499038696289062,8.683009147644043,9.23603343963623,8.732455253601074,91417968,8.732455253601074
2021-02-14,9.22029972076416,8.559715270996094,8.742988586425781,8.738896369934082,93500423,8.738896369934082
